"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
37662,"Jonathan",2,11,3,0,0,4,0,0,5,0,15,1,0,0,0,0,0,0,0,0
37663,"Julio Cesar",2,36,14,1,1,19,2,2,21,1,61,0,8,0,0,0,0,0,0,0
37673,"Alecsandro",5,36,23,12,8,26,3,13,5,3,38,3,0,0,0,0,0,0,0,0
37674,"Wagner",4,13,8,1,4,14,1,0,5,5,42,0,0,0,0,0,0,0,0,0
37688,"Cícero",4,22,28,7,8,40,3,3,18,5,56,1,0,0,1,0,0,0,0,0
37694,"Henrique",4,36,33,7,15,48,1,1,60,7,79,0,0,0,1,0,0,0,0,0
37695,"Diego",1,36,0,0,0,0,0,0,0,0,0,0,1,7,0,12,0,0,0,0
37705,"Juan",2,22,14,1,4,16,3,2,8,1,36,2,5,0,0,0,0,0,0,0
37718,"Arouca",4,36,40,1,3,18,0,0,29,3,31,1,0,0,0,0,0,0,0,0
37770,"Marcelo Grohe",1,36,0,0,0,5,0,0,0,5,22,0,11,24,0,13,0,0,0,0
37781,"Marcelo Costa",4,36,10,1,6,11,0,2,4,3,18,1,0,0,0,0,0,0,0,0
37783,"Ramon",4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37784,"Herrera",5,27,13,5,3,10,0,6,4,4,17,0,0,0,2,0,0,0,0,0
37790,"Ceará",2,36,11,1,1,6,1,0,12,3,49,2,5,0,0,0,0,0,0,0
37792,"Edinho",4,33,22,1,2,7,0,1,25,8,43,2,0,0,0,0,0,0,0,0
37837,"Cristian",4,11,16,1,5,17,0,2,14,2,40,1,0,0,0,0,0,0,0,0
37840,"Gustavo",3,23,12,1,1,1,1,1,5,1,18,0,6,0,1,0,0,0,0,0
37851,"Maicosuel",4,15,7,3,4,6,2,1,5,1,19,2,0,0,0,0,0,0,0,0
37899,"Renan",1,36,0,0,0,4,0,0,0,4,21,0,11,50,0,43,0,0,0,0
37917,"Elano",4,21,1,1,2,5,0,1,3,0,7,0,0,0,0,0,0,0,0,0
37919,"Luis Fabiano",5,36,33,9,19,25,8,16,8,6,27,2,0,0,4,0,1,0,0,0
37941,"Borges",5,36,22,9,18,15,5,13,7,3,23,0,0,0,0,0,0,0,1,0
37958,"Felipe",1,36,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0
37984,"Aranha",1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37993,"Almir",4,36,1,1,1,5,0,0,2,0,4,0,0,0,0,0,0,0,0,0
38021,"Wendel",4,36,37,2,13,39,1,1,42,6,27,0,0,0,0,0,0,0,0,0
38032,"Cleber Santana",4,30,22,7,13,20,1,0,31,6,85,4,0,0,0,0,0,0,0,0
38043,"Alessandro",2,36,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
38055,"Rogério Ceni",1,36,0,0,0,1,3,0,0,1,18,0,10,27,0,20,0,0,0,1
38061,"Edcarlos",3,36,5,1,1,7,0,1,6,1,15,0,0,0,0,0,0,0,0,0
38064,"Denilson",4,9,6,0,0,6,0,0,8,2,9,0,0,0,0,0,0,0,0,0
38067,"Danilo",4,36,16,3,5,16,0,1,4,2,27,2,0,0,0,0,0,0,0,0
38069,"Richarlyson",4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38074,"Ygor",4,36,15,0,1,6,0,0,2,5,17,0,0,0,0,0,0,0,0,0
38100,"Durval",3,36,6,4,4,19,0,5,33,1,93,1,14,0,0,0,0,0,0,0
38108,"Jorge Henrique",5,36,10,3,4,34,0,5,6,2,31,1,0,0,0,0,3,0,0,0
38138,"Jô",5,11,2,0,0,4,1,1,0,1,3,0,0,0,0,0,0,0,0,0
38139,"Bobô",5,22,7,6,9,11,5,9,4,1,17,2,0,0,0,0,0,0,0,0
38140,"Fernando Prass",1,36,1,0,0,9,0,0,1,2,28,0,8,54,0,48,0,0,0,1
38150,"Marquinhos",4,36,15,4,8,24,2,2,8,5,99,1,0,0,2,0,0,0,0,0
38162,"Fred",5,36,44,13,13,60,9,10,10,5,59,5,0,0,2,0,0,0,1,0
38178,"Roberto",5,36,14,3,7,20,1,2,6,4,49,2,0,0,1,0,0,0,0,0
38186,"Adrianinho",4,36,0,1,4,7,0,0,1,0,8,0,0,0,0,0,0,0,0,0
38187,"Fellype Gabriel",4,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38194,"Antônio Carlos",3,36,8,2,1,10,0,4,14,3,31,0,5,0,0,0,1,0,0,0
38196,"Maicon",4,36,38,5,7,12,1,1,39,4,63,1,0,0,0,0,0,0,0,0
38219,"Alex",4,36,17,11,10,50,1,4,20,3,78,2,0,0,1,0,0,0,0,0
38229,"Fábio Santos",2,7,5,0,0,11,1,1,4,0,26,1,3,0,0,0,0,0,0,0
38246,"Robinho",5,12,3,4,4,4,2,3,4,1,24,1,0,0,0,0,0,0,0,0
38247,"William",5,31,8,2,2,11,1,3,3,1,5,0,0,0,1,0,0,0,1,0
38278,"William Kozlowski",4,36,6,1,5,8,0,0,1,2,7,0,0,0,0,0,0,0,0,0
38279,"Wellington Paulista",5,36,41,6,13,20,2,11,7,5,39,3,0,0,2,0,1,0,0,0
38287,"Roger",5,24,10,8,2,13,1,5,1,3,15,1,0,0,0,0,0,0,0,0
38311,"Márcio Araújo",4,36,28,0,11,51,0,0,52,4,71,0,0,0,0,0,0,0,0,0
38315,"Jadson",4,36,19,19,11,20,13,3,25,6,184,12,0,0,2,0,0,0,0,0
38365,"Henrique",3,36,7,0,1,6,0,1,9,3,22,1,2,0,0,0,0,0,0,0
38394,"Thiago Heleno",3,36,32,0,8,15,0,2,39,9,57,0,7,0,1,0,0,0,0,0
38398,"Renato Augusto",4,36,25,17,18,38,4,5,26,2,131,6,0,0,3,0,0,0,0,0
38425,"Fábio Ferreira",3,15,1,0,1,3,0,0,1,0,9,0,2,0,0,0,0,0,0,0
38431,"Diego Cavalieri",1,36,0,0,0,4,0,0,0,3,15,0,11,59,0,45,0,0,0,1
38435,"Valdivia",4,21,1,3,3,14,0,2,5,2,23,0,0,0,0,0,0,0,0,0
38440,"Pierre",4,36,34,0,1,14,0,0,30,6,20,0,0,0,0,0,0,0,0,0
38446,"Nei",2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38451,"Carlinhos",2,36,19,9,13,26,2,5,23,2,57,3,6,0,0,0,0,0,0,0
38482,"Marcos Aurélio",4,31,11,9,16,9,1,3,3,0,45,2,0,0,0,0,0,0,0,0
38508,"Eder Luis",5,25,1,0,0,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0
38515,"Marquinhos",3,36,31,5,4,13,3,3,24,9,30,2,4,0,0,0,0,0,0,0
38523,"Edílson",2,36,19,2,4,17,0,0,14,5,52,1,6,0,1,0,0,0,0,0
38525,"Cléo",5,36,3,1,3,6,0,2,4,1,14,1,0,0,0,0,0,0,0,0
38530,"Cleiton Xavier",4,36,5,1,2,9,0,0,5,0,26,1,0,0,0,0,0,0,0,0
38573,"Nilton",4,36,40,4,18,22,2,2,17,4,64,1,0,0,0,0,1,0,0,0
38579,"Rodrigo Mancha",4,36,15,0,1,12,0,0,12,1,12,0,0,0,0,0,0,0,0,0
38632,"Matheus Ferraz",3,36,32,3,5,16,5,0,27,4,66,0,15,0,1,0,0,0,0,0
