"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
38957,"Rafael Marques Mariano","ata",38,16,1,8,16,1,6,11,2,25,1,0,0,0,0,0,0,0,0
39355,"Paulo César Carpegiani","tec",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39431,"Givanildo José de Oliveira","tec",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39500,"Nélson Baptista Júnior","tec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39850,"Vagner Carmo Mancini","tec",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40006,"Abel Carlos da Silva Braga","tec",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40025,"Levir Culpi","tec",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40990,"Dorival Silvestre Júnior","tec",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41218,"Alessandro Beti Rosa","gol",38,1,0,0,3,0,0,0,4,14,0,4,38,0,42,0,0,0,2
41258,"Adilson Dias Batista","tec",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41747,"Sérgio Bernardino","tec",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41929,"Renato Portaluppi","tec",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42116,"Willian Gomes de Siqueira","ata",38,46,10,18,36,10,8,28,2,32,4,0,0,3,0,0,0,0,0
42138,"Jonathas Cristian de Jesus","ata",27,8,1,5,4,1,1,4,0,8,0,0,0,0,0,0,0,0,0
42140,"Felipe Augusto Santana","zag",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42145,"Egídio de Araújo Pereira Júnior","lat",38,30,0,10,27,0,8,64,4,91,1,9,0,0,0,0,1,0,0
42232,"William José de Souza","mei",38,38,0,5,13,0,1,38,3,21,0,0,0,0,0,0,0,0,0
42234,"Cássio Ramos","gol",38,1,0,0,2,0,0,1,4,16,0,9,35,0,24,0,0,0,0
42411,"Alexi Stival","tec",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42491,"Márcio Gonzaga de Azevedo","lat",24,6,0,1,14,0,0,9,2,15,0,1,0,0,0,0,0,0,0
42499,"Bruno Vieira do Nascimento","lat",38,28,0,1,14,0,0,20,1,45,1,4,0,0,0,0,0,0,0
42500,"Fagner Conserva Lemos","lat",38,19,0,4,23,0,0,37,5,88,4,6,0,0,0,0,0,0,0
42501,"Luiz Rhodolfo Dini Gaioto","zag",38,2,1,1,4,1,1,15,0,11,0,7,0,0,0,1,0,0,0
43618,"Luiz Felipe Scolari","tec",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49651,"Ernando Rodrigues Lopes","zag",38,18,0,3,17,0,0,32,4,34,0,9,0,0,0,0,0,0,0
49673,"Júlio César Jacobi","gol",38,1,0,0,9,0,0,1,2,18,0,13,46,0,39,0,0,0,1
49674,"Fabricio dos Santos Silva","lat",38,8,1,5,10,1,1,6,2,26,1,2,0,0,0,0,0,0,0
