"Atleta","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
80374,"Norberto ",4,38,59,5,7,47,1,1,52,8,74,4,0,0,0,0,0,0,0,0
80381,"Cesinha",5,14,2,0,3,10,0,0,2,0,5,0,0,0,0,0,0,0,0,0
80399,"Higor",4,38,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0
80400,"Rafinha",4,38,8,0,0,12,0,0,6,1,11,0,0,0,0,0,0,0,0,0
80403,"Maurides",5,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80431,"Maicon Silva",2,31,2,0,0,8,0,0,4,0,11,0,0,0,0,0,0,0,0,0
80441,"Bonfim ",3,38,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0
80456,"Diego Felipe",4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80536,"Victor Andrade",5,9,1,1,3,7,0,0,2,0,4,0,0,0,0,0,0,0,0,0
80537,"Michael",5,38,2,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
80538,"Marlon",4,38,36,0,2,7,0,0,15,2,37,0,0,0,0,0,2,0,0,0
80552,"Marquinhos Pedroso",2,38,19,0,2,11,0,1,14,2,28,1,4,0,0,0,0,0,0,0
80553,"Guilherme Lazaroni",2,38,7,0,2,19,0,0,5,0,23,0,2,0,0,0,0,0,0,0
80568,"Willie",5,38,11,6,6,14,1,7,5,2,23,0,0,0,0,0,0,0,0,0
80570,"Wendell",2,9,5,0,0,2,0,0,2,0,6,0,1,0,0,0,0,0,0,0
80572,"Alex Santos",5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80573,"Luiz Gustavo",3,38,29,1,0,29,1,0,37,6,58,0,2,0,0,0,0,0,0,0
80576,"Renato",4,38,48,4,9,26,1,1,42,2,44,0,0,0,0,0,0,0,0,0
80583,"Lucas Lima",4,38,46,13,15,77,3,3,48,5,161,5,0,0,0,0,0,0,0,0
80585,"Otávio",4,18,6,4,1,6,0,0,4,2,13,0,0,0,0,0,0,0,0,0
80664,"Michel",2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80667,"Fernando",2,30,9,0,2,2,0,0,6,0,14,0,2,0,0,0,0,0,0,0
80774,"Alan Pinheiro",5,38,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
80777,"Wellington",5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80779,"Joílson",3,38,16,1,2,3,1,0,13,4,17,0,1,0,0,0,0,0,0,0
80795,"Dieguinho",4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80853,"Pedro Geromel",3,38,34,3,3,14,0,1,33,6,42,0,15,0,0,0,2,0,0,0
80913,"Nixon",5,38,13,3,4,17,7,7,6,0,40,5,0,0,1,0,0,0,0,0
80944,"Marlone",4,38,4,2,5,17,0,3,11,1,35,2,0,0,0,0,0,0,0,0
80949,"Biro Biro",5,38,0,1,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0
81007,"Dedé",4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81031,"Marquinhos Santos",6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81091,"Jair",4,33,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
81121,"Mugni",4,38,28,7,11,20,2,4,31,2,84,2,0,0,0,0,0,0,0,0
81148,"Ronaldo Mendes",4,12,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81150,"Mayke",2,38,29,3,4,13,0,0,51,4,89,8,9,0,0,0,0,0,0,0
81151,"Sandrinho",5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81223,"Erazo",3,38,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
81236,"Ferreyra",5,38,9,6,5,9,0,7,2,3,21,1,0,0,0,0,0,0,0,0
81543,"Josué",3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81770,"Clayton",5,38,21,10,9,17,5,6,8,4,70,4,0,0,0,0,0,0,0,0
81845,"Alisson",4,38,11,7,8,8,3,2,11,2,25,1,0,0,2,0,0,0,0,0
81905,"Henrique",5,37,90,23,23,73,13,22,12,10,55,2,0,0,0,0,0,0,0,0
81914,"Léo Lisboa",4,38,5,1,7,11,1,0,9,1,21,3,0,0,0,0,0,0,0,0
81950,"Jefferson",4,38,16,0,2,6,1,0,12,3,42,0,0,0,0,0,0,0,0,0
81952,"Willian",4,38,4,0,1,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0
82128,"Ferrugem",4,38,5,1,2,7,0,0,4,0,9,0,0,0,0,0,0,1,0,0
82381,"Juninho",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82408,"Bruninho",5,13,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
82419,"Luan Sérgio",1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82453,"Tadeu",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82455,"Zé Rafael ",4,28,3,2,2,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0
82457,"Jean Felipe",2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82458,"Erwin",3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82459,"Rafael Zuchi",3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82463,"Otávio ",4,38,26,2,3,16,0,0,10,2,32,0,0,0,0,0,0,0,0,0
82466,"Bruno Pelissari",4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82468,"Willyan Sotto",4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82469,"Douglas Coutinho ",5,38,30,11,18,16,7,6,9,3,38,1,0,0,1,0,0,0,0,0
