"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
37941,"Borges",5,21,4,3,7,7,1,2,2,1,11,0,0,0,0,0,0,0,0,0,0.19047619047619,0.142857142857143,0.333333333333333,0.333333333333333,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.523809523809524,0,0,0,0,0,0,0,0,0
37984,"Aranha",1,21,0,0,0,0,0,0,0,2,9,1,7,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0.0952380952380952,0.428571428571429,0.0476190476190476,0.333333333333333,0.761904761904762,0,0.952380952380952,0,0,0,0
38021,"Wendel",4,25,28,4,7,34,4,1,9,5,23,1,0,0,0,0,0,0,0,0,1.12,0.16,0.28,1.36,0.16,0.04,0.36,0.2,0.92,0.04,0,0,0,0,0,0,0,0
38032,"Cleber Santana",4,38,47,10,20,38,0,1,41,5,116,5,0,0,0,0,0,0,0,0,1.23684210526316,0.263157894736842,0.526315789473684,1,0,0.0263157894736842,1.07894736842105,0.131578947368421,3.05263157894737,0.131578947368421,0,0,0,0,0,0,0,0
38061,"Edcarlos",3,38,11,1,2,7,0,0,9,3,21,0,1,0,0,0,0,0,0,0,0.289473684210526,0.0263157894736842,0.0526315789473684,0.184210526315789,0,0,0.236842105263158,0.0789473684210526,0.552631578947368,0,0.0263157894736842,0,0,0,0,0,0,0
38062,"Lugano",3,38,14,0,4,5,2,3,8,6,35,0,5,0,0,0,1,0,0,0,0.368421052631579,0,0.105263157894737,0.131578947368421,0.0526315789473684,0.0789473684210526,0.210526315789474,0.157894736842105,0.921052631578947,0,0.131578947368421,0,0,0,0.0263157894736842,0,0,0
38064,"Denilson",4,24,6,0,0,5,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0.25,0,0,0.208333333333333,0,0,0.0833333333333333,0,0.208333333333333,0,0,0,0,0,0,0,0,0
38067,"Danilo",4,38,3,2,0,6,1,0,2,0,12,0,0,0,0,0,0,0,0,0,0.0789473684210526,0.0526315789473684,0,0.157894736842105,0.0263157894736842,0,0.0526315789473684,0,0.315789473684211,0,0,0,0,0,0,0,0,0
38100,"Durval",3,38,30,2,2,14,1,3,22,6,69,1,3,0,0,0,0,0,0,0,0.789473684210526,0.0526315789473684,0.0526315789473684,0.368421052631579,0.0263157894736842,0.0789473684210526,0.578947368421053,0.157894736842105,1.81578947368421,0.0263157894736842,0.0789473684210526,0,0,0,0,0,0,0
38109,"Jefferson",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
